,地区,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人),year
115,西藏自治区,1697.8,138.2,635.6,924,142.1,131.7,503.9,104.5,47.8,41.9,121.9,54.5,549.6,48902,2019
116,陕西省,25793.2,1991.1,11779.5,12022.6,2098.2,9459.9,2432.3,1872.4,1106.3,426.6,1673.7,1422,5301.8,66649,2019
117,甘肃省,8718.3,1059.3,2862.4,4796.6,1097.2,2319.8,553,646.3,438.4,158.3,862.3,470.5,2172.7,32995,2019
118,青海省,2941.1,301.9,1153.9,1485.3,306,821.9,332,160.8,123.2,50.8,263,127.5,755.9,48570,2019
119,宁夏回族自治区,3748.5,280,1587.1,1881.4,297.7,1272.5,316.2,202.3,177.7,53.7,305.9,160.6,962.1,54217,2019
120,北京市,36102.6,107.6,5716.4,30278.6,,,,,,,,,,164889,2020
121,天津市,14083.7,210.2,4804.1,9069.5,,,,,,,,,,101614,2020
122,河北省,36206.9,3880.1,13597.2,18729.5,,,,,,,,,,48564,2020
123,山西省,17651.9,946.7,7675.4,9029.8,,,,,,,,,,50528,2020
124,内蒙古自治区,17359.8,2025.1,6868,8466.7,,,,,,,,,,72062,2020
125,辽宁省,25115,2284.6,9400.9,13429.4,,,,,,,,,,58872,2020
126,吉林省,12311.3,1553,4326.2,6432.1,,,,,,,,,,50800,2020
127,黑龙江省,13698.5,3438.3,3483.5,6776.7,,,,,,,,,,42635,2020
128,上海市,38700.6,103.6,10289.5,28307.5,,,,,,,,,,155768,2020
129,江苏省,102719,4536.7,44226.4,53955.8,,,,,,,,,,121231,2020
130,浙江省,64613.3,2169.2,26413,36031.2,,,,,,,,,,100620,2020
131,安徽省,38680.6,3184.7,15671.7,19824.3,,,,,,,,,,63426,2020
132,福建省,43903.9,2732.3,20328.8,20842.8,,,,,,,,,,105818,2020
133,江西省,25691.5,2241.6,11084.8,12365.1,,,,,,,,,,56871,2020
134,山东省,73129,5363.8,28612.2,39153,,,,,,,,,,72151,2020
135,河南省,54997.1,5353.7,22875.3,26768,,,,,,,,,,55435,2020
136,湖北省,43443.5,4131.9,17023.9,22287.6,,,,,,,,,,74440,2020
137,湖南省,41781.5,4240.4,15937.7,21603.4,,,,,,,,,,62900,2020
138,广东省,110760.9,4770,43450.2,62540.8,,,,,,,,,,88210,2020
139,广西壮族自治区,22156.7,3555.8,7108.5,11492.4,,,,,,,,,,44309,2020
140,海南省,5532.4,1136,1055.3,3341.2,,,,,,,,,,55131,2020
141,重庆市,25002.8,1803.3,9992.2,13207.3,,,,,,,,,,78170,2020
142,四川省,48598.8,5556.6,17571.1,25471.1,,,,,,,,,,58126,2020
143,贵州省,17826.6,2539.9,6211.6,9075.1,,,,,,,,,,46267,2020
144,云南省,24521.9,3598.9,8287.5,12635.5,,,,,,,,,,51975,2020
145,西藏自治区,1902.7,150.6,798.3,953.8,,,,,,,,,,52345,2020
146,陕西省,26181.9,2267.5,11362.6,12551.7,,,,,,,,,,66292,2020
147,甘肃省,9016.7,1198.1,2852,4966.5,,,,,,,,,,35995,2020
148,青海省,3005.9,334.3,1143.5,1528.1,,,,,,,,,,50819,2020
149,宁夏回族自治区,3920.5,338,1609,1973.6,,,,,,,,,,54528,2020
